Name,Repeat,Time
Pompe,10,30sec
Pec bras écarté,10,40sec
Pompe diamant,10,40sec
Pec bras sérrés,10,40sec
Pompe inclinée,10,40sec
Pull over haltère,10,40sec
Dévellopé inclinée,10,40sec
