Name,Repeat,Time
Tirage Serviette,10,50sec
Superman,10,50sec
Tirage au sol,1,40sec
Rowing bûcheron,10,1min30
Rowing Barre,10,1min
Relevé de buste,10,1min
Gainage classique,1,1min
