citation,artist
"Chérie, tu sais qu'on va finir ensemble mais juste nous dans le noir",Émotions
"J'adore le parfum quand t'aimes pas céder, tu sais le temps nous dira si on passera l'été",Émotions
"J'ai dû rouler dans l'autre sens, oublier c'que les gens pensent",16
"Blesser son petit cœur, jamais j'essaie, j'suis prêt, j'l'attends, j'veux encaisser. Mais c'est, sans voix qu'je finis, j'suis blessé",702
"Le cœur volé d'une bête sauvage, né dans le creux d'une nuit d'orage",105
"Tu veux des balades nocturnes, à boire l’amour comme Opium, à s’droguer pour la même pure. Même vue, même vie, à se dope a s’tuer ensemble",Motel
"J’veux d’toi les yeux fermés, j’entend pas quand tu parles",Motel
C'est la seule qui me canalise quand mes pensées commencent à s'étaler dans le noir,Saisons
"J't'écris de la tour, là où la magie est morte, où les vautours ne mangent que tout seul. Dans le cœur, j'ai de l'acide, dans le cup, j'mets de la sip",Akira
"On est jeune, prêt à brûler comme une rose fanée, briller fallait, la passion s'fait détailler dans des paquets cellophanés",105
