citation,artist
"Diplômé, riche et après ? J'regrette la cour de récré, mais pas l'temps pour les regrets m'a dit mon cœur",Γ. Mosaïque solitaire
"Si j'suis au sol c'est que j'tape des pompes, j'consulte mon solde, je règle mes comptes",BruxellesVie
"J'vais niquer sa mère, lui faire regretter son métier",Quotidien de baisé
J'me sens au-dessus des autres comme une kippa,BruxellesVie
"Longue discussion sur le fait d'être, oublient c'qu'ils sont quand ils sont célèbres",Même issue
Aime les gens mais les gens l'aiment pour c'qu'il n'est pas,Julien
"Parler, c’est penser tout bas, penser, c’est parler tout haut",NMI
Mon Jardin d'Eden ne dépasse pas le matelas,Ζ. Kietu
J't'aimerai avec ou sans le foulard,Dix leurres
"Un cadeau empoisonné bien vendu, une mère porteuse séropositive",Débrouillard
"J'aime trop la femme pour en aimer qu'une : mon plus grand défaut. J'aime une femme mais c'est compliqué, c'est très compliqué","mon plus grand défaut. J'aime une femme mais c'est compliqué, c'est très compliqué~DamsoSource"
"J't'aime du fond de mes couilles, mon cœur noir a autre chose est passée",Baltringue
"La vie, une condamnation, l'amour en est qu'une caution",William
"Faut croire en Dieu mais surtout croire en soi, car Dieu, la mort, il ne la connaît pas",Baltringue
"Les jeunes d'aujourd'hui m'ont dit : Dems, on veut la montre, fuck le temps, pensant qu'le temps cours après la montre, sauf que les aiguilles s'arrêtent avant","Dems, on veut la montre, fuck le temps, pensant qu'le temps cours après la montre, sauf que les aiguilles s'arrêtent avant~DamsoSource"
"Pourquoi gente dame me déteste ? Moi, j'raconte histoires d'autres fois. Ta beauté s'trouve pas dans tes fesses, tu vaux beaucoup plus que c'que tu n'crois",Noir meilleur
"J'balance la sauce sur ses tresses, au point que son mec a cru qu'c'était une colo",BruxellesVie
"Je fais des sommes, tu fais des tiennes",Dix leurres
Quelle vie vit-on quand on n'a pas la vie qu'on veut ? Qui sommes-nous quand on n'peut être que c'que l'on peut ?,Julien
J'mens dans ta chatte comme Pinocchio,Pinocchio
"Esprit torturé, douleur intestinale, j'ai avalé méchanceté de l'Homme. J'l'ai digéré, j'ai pris le lien du mal, j'me sens comme Adam juste avant la pomme",Δ. Dieu ne ment jamais
"Sur l'bitume, agenouillée sous le fut, j'prends du recul pour mieux t'enculer, pute",Pinocchio
"Les tirs de kalash m'empêchaient de rêver, rebelles ennemis armés dans les parages",Graine de sablier
Le cœur sur une plaque allumée j'écoute Agnès Obel,Exutoire
"Personne n'a déjà rêvé de naître, perdu dans le berceau, je n'ai pas cessé de naître",Humain (bonus)
J'paye une tepu j'évite ainsi resto et cinéma,Quedelavie
"Obsédé par c'que j'possède et possédais, les derniers seront les premiers, c'est pour ça que j'irai aux paradis",Aux paradis
"Cherche l'amour dans mauvais garçon, mais j'en ai que pour celle qui m'a allaité",Graine de sablier
Comment donner l'exemple de ce que je serai jamais,Ι. Peur d'être père
" Pour réussir ta vie, faut qu't'étudies, j'sais pas qui m'l'a dit, sûrement Carla Bruni",B. #QuedusaalVie
" T'es trop vulgaire, tu seras censuré Damso : deux flows plus tard, premier son passe en radio","deux flows plus tard, premier son passe en radio~DamsoSource"
C'est qu'une mise en abyme de mes péchés morts mais sans décès,Rêves bizarres
"Mais trop vu la mort de près, elles se plaignent que je tire une tête d'enterrement",Beautiful
"Majeur en l'air, sans commentaire, elle m'tournait le dos, j'ai tourné la page",113
"On bavardait sans dire un mot, le bruit de mon silence en dit long, sentiments grandissants figeant l'ego, prison de mots, absence de compliments",Feu de bois
Y'a qu'à la muscu' qu'j'mets un genou à terre,Exutoire
"Vers le succès je marche, j'ai des ampoules aux pieds, à chacun d'mes pas c't'un remake de Billie Jean",Débrouillard
"C’est ni l’enfer, ni le paradis car dans tous les cas, tu meurs à la fin",Baltringue
"Tout peut s'arrêter, les deux barres parallèles sont des carrés dans la réalité",Humain (bonus)
"Mort est son avenir proche, les anges de l'enfer l'escortent",Amnésie
"T’as plusieurs rêves mais pas d’objectifs, c’est ça qui fait que t’es toujours au même endroit",Baltringue
Elle porte notre avenir dans son ventre,Ι. Peur d'être père
"Plus d'sept mille jours que j'suis né, dont au moins mille passés à fumer. Fumer tue, vivre aussi donc tant qu'à faire autant se ruiner",Γ. Mosaïque solitaire
"Mon maître majeur dans sa tte-cha, c'est la noyade",Périscope
"Ça commence par du Roméo et Juliette, ça finit par du Jacquie et Michel",Ζ. Kietu
"Du monde à dos, pour ce que j'ai fait, qu'ils aillent se faire enculer de loin et de près",N. J Respect R
Qui sont-ils quand ils n'ont jamais vraiment été ?,Humain (bonus)
"Déter' oui mais pour la mifa, j'partirai en fumée comme Patrice, seul dans le coin, accusé à tort, j'suis ni Charlie ni djihadiste",Graine de sablier
"La vie qu't’as choisie n’est p't-être pas la bonne, tu vis par principe, tu ris mais t’es triste, tu jouis sans plaisir",Baltringue
"Encore les mêmes fils de putains qui s'ramènent, quand tout va mieux, quand c'n'est plus noir, quand c'n'est plus sale",Baltringue
"Écoute c'que j'ai à dire quand je parle de toi, j'veux qu'tu me devines, que tu meures de moi, viens dans ma tête, ne dis plus un mot",Silence
"J'n'ai aucun remord, t'es Sarah Connor, je suis Terminator dans ta tte-cha",Débrouillard
Pourquoi leur demander l'heure ? J'sais bien qu'la mienne n'est pas encore là,Γ. Mosaïque solitaire
"J'ai toujours fait ce que j'ai dit, j'ai tellement pêché, faut qu'je prie, elle m'a aimé pour c'que j'étais, elle m'a quitté pour c'que je suis",Noir meilleur
"Faux-cul j'étais comme un Allez l'OM, scandé par un supporter parisien",Amnésie
"Les choses sont souvent plus belles avant, comme le visage de Bardot Brigitte",Ζ. Kietu
